,train_loss,train_acc,val_loss,val_acc,times
0,0.23480529081292525,0.7908332226490676,0.05054221674799919,0.9177532083792143,2.1513283252716064
1,0.037887107827769544,0.9433509000874759,0.028164973482489586,0.9569971996213776,2.0890920162200928
2,0.026135077772331473,0.9643769649379761,0.021184921264648438,0.9695739637003021,2.1458754539489746
3,0.02069815059827664,0.9732074256778712,0.016982752829790115,0.9760528861369632,2.1164610385894775
4,0.017098224589673208,0.9782110270244134,0.014157419092953205,0.9800522272087219,2.0937340259552
5,0.01455783715202241,0.981537781003121,0.012019977904856205,0.9828089241640005,2.1020374298095703
6,0.012574549040076904,0.9838941314250265,0.010450217872858047,0.9848437652347575,2.108814239501953
7,0.010992322840679657,0.9856553095328252,0.009493052959442139,0.9863918953296044,2.1205334663391113
8,0.009911292223947836,0.9870402647502322,0.008487503044307232,0.9876290294156467,2.105058193206787
9,0.00897385545491267,0.9881496166342083,0.008173543028533459,0.9886273934607164,2.129472255706787
10,0.008341318126406311,0.9890600259800413,0.007332282606512308,0.9894447116383823,2.1306393146514893
11,0.007829448226382053,0.9898014539880287,0.00936619471758604,0.9901183432546156,2.1080052852630615
12,0.007438831000165819,0.9904085972745806,0.006549014709889889,0.990704555726494,2.116464853286743
13,0.007121409327549324,0.990972396931415,0.00629601301625371,0.991215312196342,2.3429741859436035
14,0.0068609635480230595,0.9914420420670537,0.006502773612737656,0.9916595871948121,2.3237452507019043
15,0.006628827969758686,0.9918688884909785,0.006099345628172159,0.9920617813140707,2.3806207180023193
16,0.00648961354964824,0.9922484178456294,0.00593970762565732,0.9924120330684065,2.1555368900299072
17,0.006363037364059475,0.9925670504434388,0.0056757270358502865,0.992721020701077,2.329076051712036
18,0.006132381410296084,0.9928683586359295,0.00564400153234601,0.9930064244991272,2.4367878437042236
19,0.005902310467542155,0.9931377487106671,0.005486913025379181,0.9932636762487477,2.4218881130218506
20,0.005810402187315015,0.9933842588745829,0.005570544395595789,0.993494541638726,2.2111146450042725
21,0.005683356695374561,0.9936006911378672,0.005344259086996317,0.9937068672964364,2.403162956237793
22,0.005623209504907194,0.9938041879726622,0.005806460045278072,0.9939002562264865,2.484123706817627
23,0.005461495058366914,0.9939918046789635,0.005299416836351156,0.9940813915799088,2.2077486515045166
24,0.005274629793764087,0.9941637355312959,0.005153750069439411,0.9942495149389818,2.1455070972442627
25,0.005295457232215635,0.9943296230558106,0.005045190453529358,0.9944110773602595,2.333852529525757
26,0.0051764683251766174,0.994482808281266,0.005433335434645414,0.9945539811561848,2.4338982105255127
27,0.0051557727109637725,0.9946193645567346,0.005015065427869558,0.9946825224461543,2.362896203994751
28,0.005009444278064401,0.9947473558007112,0.005242577288299799,0.9948075187617335,2.373185157775879
29,0.004915285476114094,0.9948671751054887,0.004993682727217674,0.9949281542939912,2.181570529937744
30,0.00481260436393482,0.9949870410632762,0.004759534727782011,0.995043537502896,2.195589065551758
31,0.004675032711223121,0.99509850107091,0.005020267330110073,0.9951492266566431,2.4505176544189453
32,0.00462844028288859,0.9952000641307462,0.005053641274571419,0.995251477080884,2.446772575378418
33,0.004614429203062417,0.9952990916537479,0.004702899605035782,0.9953472615869355,2.4353137016296387
34,0.004493027610283647,0.995391886795747,0.004893728531897068,0.9954353397025354,2.3481266498565674
35,0.00439891255378376,0.9954795496320019,0.0044975560158491135,0.9955223928395887,2.458843231201172
36,0.00433345926423801,0.995561878971408,0.004458807874470949,0.995601067176232,2.2869656085968018
37,0.004218809971445623,0.9956408669924166,0.004562899470329285,0.9956792045967648,2.342376947402954
38,0.004234046785694979,0.9957161732229899,0.0043716453947126865,0.9957540692954228,2.147390127182007
39,0.003986006715994448,0.9957892017966651,0.004345269873738289,0.9958257602443745,2.135529041290283
40,0.004104704676095349,0.9958598177723239,0.004309382289648056,0.9958919383170434,2.0989110469818115
41,0.0038996902271145337,0.9959270594741162,0.004637055564671755,0.995958793700848,2.1173977851867676
42,0.0037612089506847382,0.9959912795798093,0.004419357515871525,0.9960216911465166,2.127779245376587
43,0.003767797342292846,0.9960522787291578,0.004184674005955458,0.9960834180012306,2.162015199661255
44,0.003676703318297221,0.9961146673651685,0.004944284446537495,0.9961421595644255,2.075587511062622
45,0.0035544715442473373,0.9961689363431876,0.004877003841102123,0.9961968510157233,2.1996562480926514
46,0.0036276310237785617,0.996224769688846,0.005823369137942791,0.9962496009682471,2.1471707820892334
47,0.003583007128243861,0.9962739375535403,0.004213846754282713,0.9963001844421305,2.1518349647521973
48,0.00338052775712338,0.9963260851079965,0.00469756918027997,0.996350649181032,2.103391647338867
49,0.0033119489193825934,0.9963761590446628,0.004082731902599335,0.99639958190665,2.160597562789917
