,non_circ,circ
311,99.0,281.0
312,101.0,236.0
313,103.0,239.0
314,102.0,279.0
315,107.0,987.0
316,111.0,1266.0
317,107.0,580.0
318,107.0,6699.0
319,94.0,637.0
320,92.0,342.0
321,104.0,361.0
322,103.0,794.0
323,107.0,284.0
324,107.0,1263.0
325,111.0,877.0
326,93.0,208.0
327,107.0,732.0
328,103.0,476.0
329,107.0,443.0
330,107.0,853.0
331,100.0,502.0
332,102.0,515.0
333,104.0,802.0
334,107.0,918.0
335,107.0,448.0
336,105.0,506.0
337,106.0,305.0
338,100.0,273.0
339,108.0,1230.0
340,107.0,1009.0
341,107.0,306.0
342,108.0,324.0
343,105.0,372.0
344,105.0,2542.0
345,104.0,1078.0
346,107.0,300.0
347,106.0,242.0
348,107.0,444.0
349,106.0,408.0
350,107.0,1042.0
351,104.0,273.0
352,104.0,411.0
353,107.0,950.0
354,107.0,259.0
355,107.0,779.0
356,107.0,693.0
357,103.0,1203.0
358,107.0,341.0
359,105.0,2849.0
360,104.0,484.0
361,107.0,622.0
362,107.0,294.0
363,103.0,519.0
364,107.0,377.0
365,107.0,171.0
366,101.0,823.0
367,104.0,325.0
368,107.0,5057.0
369,107.0,233.0
370,107.0,252.0
371,107.0,731.0
372,105.0,214.0
373,108.0,365.0
374,107.0,516.0
375,101.0,675.0
376,99.0,189.0
377,107.0,665.0
378,107.0,2302.0
379,104.0,322.0
380,104.0,460.0
381,107.0,769.0
382,103.0,194.0
383,107.0,954.0
384,107.0,1436.0
385,104.0,347.0
386,103.0,1651.0
387,107.0,273.0
388,107.0,639.0
389,107.0,266.0
390,107.0,312.0
391,107.0,431.0
392,107.0,411.0
393,107.0,191.0
394,94.0,798.0
395,101.0,488.0
396,113.0,643.0
397,103.0,562.0
398,106.0,288.0
399,103.0,879.0
400,107.0,457.0
401,101.0,479.0
402,99.0,340.0
403,107.0,348.0
404,107.0,1794.0
405,102.0,520.0
406,107.0,4455.0
407,104.0,665.0
408,107.0,747.0
409,109.0,981.0
410,104.0,214.0
411,107.0,783.0
412,104.0,777.0
413,105.0,306.0
414,107.0,279.0
415,100.0,478.0
416,108.0,321.0
417,107.0,207.0
418,101.0,603.0
419,107.0,126.0
420,107.0,347.0
421,108.0,922.0
422,103.0,1222.0
423,105.0,332.0
424,119.0,686.0
425,103.0,210.0
426,107.0,1772.0
427,105.0,104.0
428,104.0,202.0
429,107.0,345.0
430,71.0,189.0
431,107.0,798.0
432,107.0,600.0
433,100.0,463.0
434,105.0,308.0
435,96.0,950.0
436,107.0,1154.0
437,94.0,541.0
438,107.0,1624.0
439,107.0,178.0
440,106.0,832.0
441,105.0,482.0
442,104.0,819.0
443,107.0,182.0
444,106.0,786.0
445,107.0,1405.0
446,117.0,202.0
447,100.0,1885.0
448,107.0,288.0
449,72.0,275.0
450,107.0,2082.0
451,104.0,658.0
452,107.0,588.0
453,107.0,194.0
454,106.0,349.0
455,103.0,507.0
456,96.0,66.0
457,105.0,322.0
458,107.0,259.0
459,108.0,586.0
460,102.0,233.0
461,106.0,426.0
462,105.0,314.0
463,107.0,736.0
464,107.0,404.0
465,106.0,403.0
466,107.0,280.0
467,103.0,234.0
468,95.0,926.0
469,108.0,225.0
470,107.0,396.0
471,107.0,409.0
472,105.0,782.0
473,107.0,317.0
474,107.0,219.0
475,108.0,1546.0
476,105.0,293.0
477,107.0,208.0
478,107.0,392.0
479,107.0,1525.0
480,99.0,1041.0
481,103.0,152.0
482,107.0,1993.0
483,106.0,595.0
484,102.0,225.0
485,107.0,1193.0
486,106.0,745.0
487,100.0,386.0
488,106.0,615.0
489,107.0,514.0
490,107.0,158.0
491,96.0,204.0
492,74.0,1620.0
493,93.0,627.0
494,107.0,846.0
495,107.0,126.0
496,103.0,495.0
497,107.0,1152.0
498,105.0,897.0
499,107.0,346.0
500,106.0,2031.0
501,107.0,337.0
502,110.0,565.0
503,105.0,358.0
504,107.0,675.0
505,105.0,717.0
506,100.0,619.0
507,102.0,120.0
508,107.0,603.0
509,107.0,1079.0
510,102.0,855.0
511,109.0,470.0
512,107.0,103.0
513,103.0,211.0
514,107.0,506.0
515,106.0,592.0
516,139.0,1433.0
517,106.0,994.0
518,108.0,899.0
519,104.0,498.0
520,94.0,785.0
521,107.0,282.0
522,101.0,5262.0
523,108.0,2636.0
524,112.0,413.0
525,107.0,1219.0
526,107.0,5285.0
527,107.0,189.0
528,103.0,642.0
529,104.0,734.0
530,99.0,282.0
531,100.0,304.0
532,109.0,801.0
533,107.0,721.0
534,104.0,361.0
535,107.0,1517.0
536,107.0,301.0
537,107.0,262.0
538,117.0,5682.0
539,105.0,2730.0
540,106.0,466.0
541,107.0,747.0
542,104.0,842.0
543,103.0,1245.0
544,103.0,276.0
545,102.0,929.0
546,103.0,448.0
547,106.0,256.0
548,107.0,393.0
549,101.0,204.0
550,74.0,1403.0
551,107.0,8036.0
552,104.0,449.0
553,107.0,238.0
554,102.0,341.0
555,99.0,267.0
556,100.0,1257.0
557,107.0,547.0
558,108.0,315.0
559,107.0,827.0
560,107.0,294.0
561,111.0,998.0
562,102.0,728.0
563,113.0,237.0
564,110.0,2435.0
565,106.0,555.0
